,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
0,Аалтонен Миро,ВИТ,61,19,23,42,9,165,11.5,20,17:39,F
1,Аверин Егор,ЛОК,57,13,14,27,15,102,12.7,10,16:18,F
2,Авцин Александр,НХК,20,1,2,3,1,24,4.2,8,11:18,F
3,Азеведо Джастин,АКБ,62,13,24,37,26,195,6.7,42,16:49,F
4,Акмальдинов Александр,СОЧ,30,1,6,7,-3,24,4.2,11,08:30,F
5,Акользин Павел,БАР,59,7,8,15,-4,96,7.3,33,12:13,F
6,Алексеев Андрей,ДИН,29,7,6,13,0,51,13.7,14,13:54,F
7,Алексеев Денис,ЛОК,59,10,19,29,6,84,11.9,16,14:45,F
8,Алтыбармакян Андрей,СОЧ,38,2,4,6,-4,26,7.7,14,09:35,F
9,Андронов Сергей,ЦСК,48,8,3,11,14,88,9.1,16,14:49,F
10,Аноховский Никита,ЛОК,2,0,0,0,0,0,0.0,0,04:45,F
11,Антипов Артём,ЦСК,2,0,0,0,0,3,0.0,0,08:22,F
12,Анттила Марко,ЙОК,38,11,4,15,9,86,12.8,21,13:30,F
13,Апальков Даниил,ЛОК,58,8,16,24,-5,102,7.8,35,13:18,F
14,Аркалов Илья,НХК,42,2,2,4,-10,36,5.6,16,06:47,F
15,Артёмов Артём,ДМН,10,0,0,0,-1,11,0.0,29,06:59,F
16,Архипов Дмитрий,СОЧ,45,6,10,16,5,77,7.8,20,15:41,F
17,Асетов Алихан,БАР,46,5,2,7,3,41,12.2,8,09:17,F
18,Афиногенов Максим,ДИН,10,4,1,5,-2,18,22.2,10,15:28,F
19,Бабенко Егор,СЕВ,18,2,3,5,0,19,10.5,6,11:37,F
20,Бакош Мартин,СОЧ,22,7,8,15,4,52,13.5,2,16:20,F
21,Барабанов Александр,СКА,58,17,28,45,33,142,12.0,12,15:26,F
22,Баранов Егор,СЛВ,30,1,1,2,-6,20,5.0,29,06:26,F
23,Барбашев Сергей,СИБ,8,0,1,1,-4,8,0.0,6,12:05,F
24,Батня Оскарс,ДРГ,37,2,3,5,-8,27,7.4,14,10:13,F
25,Бек Тэйлор,АВГ,56,19,17,36,8,145,13.1,28,18:36,F
26,Белоусов Георгий,АВТ,38,4,6,10,3,60,6.7,12,12:42,F
27,Беляев Кирилл,СОЧ,7,1,0,1,0,3,33.3,2,06:33,F
28,Беляев Михаил,ЛОК,12,1,1,2,-2,14,7.1,2,07:06,F
29,Беннетт Бо,ДМН,5,0,1,1,-5,10,0.0,2,17:31,F
30,Бергстрем Александр,ТРК,41,4,11,15,-8,57,7.0,14,15:01,F
31,Берестенников Илья,АМР,11,0,3,3,0,17,0.0,15,11:13,F
32,Берзиньш Даниэль,ДРГ,38,0,0,0,-8,11,0.0,8,05:16,F
33,Бертранд Шарль,СИБ,23,2,1,3,-1,68,2.9,8,15:22,F
34,Бикмуллин Рафаэль,НХК,32,4,1,5,-3,49,8.2,91,12:07,F
35,Бобылёв Владимир,СЮЛ,3,0,0,0,0,3,0.0,0,09:55,F
36,Бовбель Виктор,ДМН,3,0,0,0,-1,1,0.0,0,01:10,F
37,Бодров Евгений,СЕВ,40,2,5,7,-10,26,7.7,33,12:19,F
38,Бойд Дастин,БАР,56,6,8,14,-6,101,5.9,30,17:21,F
39,Бойко Владислав,АДМ,1,0,0,0,-2,1,0.0,0,11:12,F
40,Бойчак Зак,СЕВ,25,2,2,4,-9,44,4.5,8,15:54,F
41,Болтанов Артур,АМР,2,0,0,0,-2,1,0.0,0,10:02,F
42,Бочаров Станислав,СОЧ,56,13,16,29,0,147,8.8,24,17:05,F
43,Боченски Брэндон,БАР,44,15,19,34,4,115,13.0,10,18:03,F
44,Брюквин Владимир,ДИН,61,10,5,15,-10,102,9.8,16,13:22,F
45,Брюле Жильбер,СИБ,30,7,15,22,-4,72,9.7,14,17:15,F
46,Буйницкий Дмитрий,ДМН,36,10,3,13,0,42,23.8,39,12:37,F
47,Булирж Михал,ММГ,40,7,8,15,3,64,10.9,8,14:48,F
48,Бумагин Александр,СЕВ,20,1,2,3,-3,23,4.3,4,13:10,F
49,Бурдасов Антон,СЮЛ,50,19,11,30,-15,157,12.1,114,15:40,F
50,Бурмистров Александр,СЮЛ,55,5,9,14,3,91,5.5,28,16:32,F
51,Бусаров Георгий,СЮЛ,11,1,0,1,-2,2,50.0,2,09:06,F
52,Бут Дэвид,ДМН,18,2,1,3,0,41,4.9,20,15:23,F
53,Бутузов Владимир,АДМ,60,12,14,26,-16,130,9.2,20,16:34,F
54,Буц Давид,СЛВ,32,1,3,4,-6,17,5.9,6,12:18,F
55,Бывальцев Алексей,СКА,47,5,6,11,16,71,7.0,20,12:28,F
56,Бэйли Кейси,СЛВ,45,1,4,5,-28,96,1.0,26,15:43,F
57,Валк Кертис,БАР,50,9,19,28,3,117,7.7,32,19:17,F
58,Валуйский Семён,АДМ,10,0,0,0,-3,10,0.0,4,10:08,F
59,Варнаков Михаил,ТОР,51,13,11,24,-17,108,12.0,55,16:20,F
60,Варфоломеев Павел,ММГ,39,3,12,15,6,45,6.7,4,12:37,F
61,Вей Линден,ЦСК,56,12,30,42,35,100,12.0,22,16:43,F
62,Величкин Игорь,АМР,19,0,2,2,-7,9,0.0,4,08:06,F
63,Верба Марк,ВИТ,1,0,0,0,0,0,0.0,0,00:23,F
64,Верстиг Крис,АВГ,11,3,2,5,-1,34,8.8,0,16:32,F
65,Веряев Данил,ТОР,61,6,13,19,12,61,9.8,32,12:37,F
66,Весалайнен Кристиан,ЙОК,31,6,11,17,3,41,14.6,0,14:37,F
67,Виделль Линус,ДРГ,49,24,24,48,7,151,15.9,14,18:24,F
68,Вирта Патрик,СЛВ,21,2,7,9,-9,30,6.7,6,13:16,F
69,Вихарев Денис,АДМ,48,10,16,26,-1,65,15.4,22,17:17,F
70,Вовченко Даниил,СЕВ,44,4,14,18,4,101,4.0,24,16:24,F
71,Воеводин Данил,АКБ,2,0,0,0,0,1,0.0,0,03:18,F
72,Волков Артём,ДМН,60,2,2,4,-13,29,6.9,44,11:35,F
73,Вольский Войтек,КУН,44,11,17,28,2,121,9.1,10,17:33,F
74,Воронин Артём,СПР,34,3,3,6,0,23,13.0,8,10:16,F
